Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Card Keywords	Phases	16	26	1827.85	6	10	617.97	2	4	290.04
Card Keywords	Damage	1477	1514	148549.42	725	758	72987.58	338	387	34263.54
Card Keywords	Hydra	23	5	1921.58	18	5	1548.59	10	8	907.50
Card Keywords	Phased	8	23	1135.21	0	8	158.75	0	0	0.00
Card Keywords	Until	1196	1578	127187.59	510	690	54561.61	242	268	24281.19
Card Keywords	Combat	458	438	45243.94	234	224	22873.64	108	126	10918.56
Card Keywords	Starting	22	12	2116.49	14	8	1258.72	7	7	665.84
Card Keywords	Exactly	19	10	1713.72	15	4	1271.14	9	6	792.10
Card Keywords	Step	403	367	39032.78	204	201	20368.38	113	91	10655.02
Card Keywords	Phyrexian	23	16	2087.95	16	8	1302.12	6	10	745.84
Card Keywords	Amount	65	43	5868.41	34	33	3448.98	14	20	1528.94
Card Keywords	Wolf	37	23	3488.98	22	15	2041.99	8	14	1001.96
Card Keywords	Where	258	177	24150.20	140	119	13787.86	72	68	7285.83
Card Keywords	Reveals	105	88	10024.22	49	56	4991.96	21	28	2333.80
Card Keywords	Hexproof	64	28	5789.28	43	21	3935.18	27	16	2457.11
Card Keywords	Tap	926	843	90368.70	477	456	47468.20	247	230	24342.76
Card Keywords	Less	757	606	71938.89	402	360	39960.89	200	202	19943.75
Card Keywords	Rest	252	191	24122.57	142	111	13460.23	74	68	7155.74
Card Keywords	Draws	113	44	9816.95	74	41	6658.03	39	35	3979.81
Card Keywords	Equipment	39	29	3607.18	17	22	1758.85	11	6	941.58
Card Keywords	Equipped	120	114	11967.36	62	58	6300.15	34	28	3241.35
Card Keywords	Vigilance	151	125	14757.10	87	64	8136.41	52	35	4588.66
Card Keywords	Entwine	11	13	1180.00	5	6	572.17	3	2	269.44
Card Keywords	Red	405	323	38674.06	235	173	22172.49	118	117	11732.85
Card Keywords	Champion	21	16	2001.45	15	6	1201.93	4	11	656.84
Card Keywords	Buyback	24	16	2100.32	14	10	1222.00	6	8	585.05
Card Keywords	Game	95	40	8419.96	68	27	5668.02	37	31	3738.49
Card Keywords	During	215	288	22546.01	85	131	9526.44	47	38	4486.60
Card Keywords	Bushido	14	22	1578.67	5	9	579.69	2	3	242.55
Card Keywords	Attached	81	80	8221.46	35	46	3804.56	13	22	1484.17
Card Keywords	Flip	29	47	3510.64	13	16	1429.49	4	9	520.04
Card Keywords	Creates	42	12	3611.68	27	15	2477.20	17	10	1389.56
Card Keywords	Green	291	206	27438.99	166	125	15684.28	92	74	8816.42
Card Keywords	Poison	42	33	3861.60	16	26	1767.03	8	8	715.75
Card Keywords	Rounded	25	10	2019.51	17	8	1506.63	9	8	922.55
Card Keywords	Extra	34	7	2861.41	25	11	2189.74	16	9	1522.93
Card Keywords	Landfall	32	38	3400.45	19	13	1729.16	10	9	963.17
Card Keywords	Energy	32	18	2832.00	12	20	1420.00	6	6	566.75
Card Keywords	Back	110	104	10729.61	57	53	5664.03	32	25	3009.07
Card Keywords	Changeling	14	12	1413.21	4	10	623.60	3	1	225.43
Card Keywords	Multicolored	16	20	1673.69	6	10	718.49	4	2	330.52
Card Keywords	Flashback	61	53	5895.95	31	30	3208.89	19	12	1803.95
Card Keywords	Spells	287	164	26544.42	180	109	16629.05	98	82	9623.01
Card Keywords	Mountain	60	71	6251.22	31	29	3245.69	16	15	1567.94
Card Keywords	Rather	90	50	7957.70	50	40	4727.78	22	28	2441.41
Card Keywords	Three	349	255	33317.07	188	163	18193.64	100	88	9727.71
Card Keywords	Enough	33	40	3366.78	12	21	1451.24	5	7	543.75
Card Keywords	Basic	148	124	13898.34	78	71	7454.40	36	42	3902.42
Card Keywords	Counters	543	436	52417.48	280	263	27494.66	120	160	12957.89
Card Keywords	Draw	825	549	76484.00	437	391	43083.99	250	187	23319.28
Card Keywords	Graveyard	1068	737	99494.23	573	500	55946.78	294	279	29335.85
Card Keywords	Devoid	43	56	4543.08	16	27	1871.97	5	11	543.92
Card Keywords	Removed	56	45	5189.45	30	26	2874.37	14	16	1467.84
Card Keywords	Died	17	21	1803.60	6	11	727.09	2	4	252.46
Card Keywords	Land	939	748	89132.36	519	428	50419.33	293	226	27709.36
Card Keywords	Time	323	324	32585.21	151	177	16132.03	69	82	7153.59
Card Keywords	Text	17	22	1822.16	8	9	823.94	3	5	361.51
Card Keywords	Library	987	544	88572.33	560	435	53120.33	307	253	29714.56
Card Keywords	Heroic	16	26	1835.79	3	13	559.54	0	3	132.03
Card Keywords	Down	144	146	14764.88	69	76	7064.35	28	41	3176.57
Card Keywords	Trample	341	269	32469.76	180	162	18045.54	83	97	8607.43
Card Keywords	Scheme	2	0	121.79	1	1	114.50	1	0	76.24
Card Keywords	Cause	66	58	6394.26	36	30	3375.42	22	14	1991.58
Card Keywords	You	5167	4138	495236.69	2745	2452	269281.00	1384	1361	138265.81
Card Keywords	Beast	41	43	4254.14	20	21	1997.96	9	11	998.13
Card Keywords	Shadow	31	43	3303.87	15	16	1418.23	8	7	731.65
Card Keywords	Paying	161	66	14007.48	92	71	8622.91	48	44	4723.03
Card Keywords	Exiles	41	25	3825.29	22	19	2260.23	15	7	1251.94
Card Keywords	Players	140	74	12465.75	76	65	7328.39	40	36	3903.60
Card Keywords	Exiled	146	65	12899.91	87	60	8026.67	46	41	4538.72
Card Keywords	Become	365	436	38342.84	173	194	17826.18	89	84	8805.37
Card Keywords	Converted	274	163	25295.65	158	116	14833.14	87	71	8327.63
Card Keywords	Noncreature	78	48	7577.20	49	29	4583.62	36	13	3073.34
Card Keywords	Suspend	37	22	3312.84	23	14	2094.68	10	13	1098.10
Card Keywords	One	1398	992	131046.17	758	647	73591.94	409	349	39321.35
Card Keywords	Player	1647	1529	163396.88	860	795	84598.89	427	433	42820.60
Card Keywords	Another	329	226	30343.27	152	177	16040.23	70	82	7274.57
Card Keywords	Equip	149	135	14632.43	73	76	7521.28	39	34	3765.15
Card Keywords	Beyond	22	26	2305.55	13	9	1112.33	3	10	543.36
Card Keywords	Blue	134	129	13855.22	74	60	7092.18	46	28	4054.29
Card Keywords	Cycling	66	87	6999.46	31	35	3101.43	10	21	1302.09
Card Keywords	Bottom	184	115	17013.64	97	87	9442.32	52	45	5011.35
Card Keywords	Same	84	64	8227.68	45	39	4356.73	32	13	2611.74
Card Keywords	White	241	208	23805.30	141	100	13092.94	77	64	7165.55
Card Keywords	Bird	24	18	2331.90	14	10	1231.15	4	10	565.50
Card Keywords	Sliver	60	38	5342.04	30	30	2760.03	10	20	1274.07
Card Keywords	Prowess	21	9	1819.97	10	11	974.76	6	4	541.46
Card Keywords	Greater	103	81	9917.67	54	51	5356.86	24	30	2475.34
Card Keywords	Exchange	25	12	2135.05	13	12	1315.23	6	7	612.63
Card Keywords	Bands	4	42	1307.71	1	3	110.05	0	1	43.03
Card Keywords	Quest	14	11	1328.61	11	3	849.68	7	4	589.62
Card Keywords	Effects	32	32	3358.49	15	17	1686.78	8	7	785.50
Card Keywords	Legendary	37	22	3587.36	24	14	2267.54	10	14	1282.45
Card Keywords	Maximum	21	6	1771.72	13	8	1260.88	9	4	709.77
Card Keywords	Loses	222	205	22108.16	117	105	11551.67	55	62	5911.25
Card Keywords	Shares	26	26	2508.98	13	13	1224.21	6	7	651.01
Card Keywords	Cards	1179	760	108743.16	645	545	62337.06	342	303	33370.20
