Krosan Wayfarer	Thrashing Mudspawn	34.2
Tel-Jilad Fallen	Tuktuk Scrapper	25.41
Haunted Guardian	Needlebug	48.63
Singe	Everflame Eidolon	25.12
Magus of the Future	Planar Gate	24.64
Feral Shadow	Conqueror's Flail	17.81
Rune Snag	Avacyn's Pilgrim	38.58
Forest	Temple of Epiphany	29.16
Jhessian Thief	Wild Ox	91.94
Nectar Faerie	Specter's Shroud	67.87
Catch	Phantasmal Terrain	87.36
River Boa	Treacherous Vampire	76.51
Petalmane Baku	Faith's Shield	48.42
Undercity Informer	Runed Arch	17.6
Symbiotic Elf	Steel Sabotage	62.98
Cloven Casting	Vaultbreaker	40.93
Spindrift Drake	Rix Maadi Guildmage	20.69
Intrepid Provisioner	Ronom Unicorn	33.06
Magmaquake	Zuran Orb	74.34
Impulsive Maneuvers	Govern the Guildless	44.67
Gigantoplasm	Anguished Unmaking	83.21
Collective Voyage	Spider Spawning	37.99
Fluxcharger	Wrath of Marit Lage	40.56
Akki Raider	Pheres-Band Centaurs	31.88
Unholy Citadel	Nath's Elite	47.1
Chancellor of the Forge	Cultural Exchange	44.27
Jungle Shrine	Cheatyface	50.64
Phyrexian Ironfoot	Mesmeric Orb	12.4
Hidden Horror	Seeker of the Way	79.72
Tajic, Blade of the Legion	Xathrid Demon	39.85
Ingenious Thief	Slaughter	19.46
Grimoire of the Dead	Mindswipe	58.38
Qasali Ambusher	Chandra's Pyrohelix	83.5
Wilt-Leaf Cavaliers	Festerhide Boar	72.82
Woolly Mammoths	Venomous Vines	73.45
Arcane Melee	Tainted Remedy	41.98
Beast Walkers	Primal Druid	13.7
Gabriel Angelfire	Mawcor	60.44
Unmask	Dakra Mystic	60.61
Grief Tyrant	Footbottom Feast	37.64
Kitesail Apprentice	Devastation	40.56
Searchlight Geist	Runehorn Hellkite	83.79
Wind Sail	Dakkon Blackblade	14.2
Bosh, Iron Golem	Drain the Well	14.8
Sacred Nectar	Thorn-Thrash Viashino	80.67
Dragonlord's Servant	Rogue Skycaptain	81.05
Spellbound Dragon	Kazuul, Tyrant of the Cliffs	65.92
Carrion Howler	Painful Quandary	84.39
Soul Foundry	Second Sight	81.17
Knight Errant	Deserter's Quarters	62.62
Secure the Wastes	Empyrial Archangel	40.71
Lys Alana Huntmaster	Power Leak	20.11
Regal Force	Guardian of Solitude	10.6
Ajani's Chosen	Sultai Emissary	71.89
Spellweaver Helix	Wingcrafter	62.69
Sulfur Elemental	Nimble Mongoose	71.96
Linessa, Zephyr Mage	Grove of the Burnwillows	17.89
Expedition Map	Caller of the Pack	83.18
Fires of Yavimaya	Double Cleave	84.03
Crystal Ball	Wormfang Turtle	18.41
Kemba, Kha Regent	Ash Zealot	50.74
Corrupted Harvester	Sunhome, Fortress of the Legion	13.48
Insatiable Gorgers	Escaped Shapeshifter	34.07
Fury Charm	Heavy Fog	77.61
Acid Web Spider	Opposition	91.85
Stormtide Leviathan	Moonring Island	90.22
Stronghold Discipline	Merieke Ri Berit	87.27
Humble Defector	Give No Ground	16.99
Bind	Nim Shrieker	20.49
Jin-Gitaxias, Core Augur	Crumble to Dust	15.46
Goblin Secret Agent	Seahunter	64.18
Elemental Bond	Chain Lightning	21.05
Bladewing's Thrall	Flayed Nim	33.38
Hydra Omnivore	Perilous Research	65.58
Horde of Notions	Trepanation Blade	25.4
Absorb	Stifle	80.67
Read the Runes	Temporal Extortion	30.69
Choked Estuary	Shared Fate	33.2
Lotus Blossom	Twisted Abomination	55.92
Myriad Landscape	Ravenous Rats	49.33
Ulamog's Despoiler	Brutal Suppression	64.12
Bye	Metalworker	100
Shapeshifter's Marrow	Silvercoat Lion	14.36
Plummet	Skeletonize	60.28
Nighthowler	Hornet Queen	23.63
Clash of Realities	Wanderwine Prophets	71.23
Open the Armory	Improvised Armor	24.17
Cloudblazer	Fissure Vent	4.68
Custodi Squire	Titan's Strength	63.59
Goblin Charbelcher	Mystic Snake	49.49
Venerated Teacher	Soulless Revival	66.44
Pharika, God of Affliction	Whiptail Moloch	4.71
Eradicate	Emeria, the Sky Ruin	19.61
Sunastian Falconer	Consuming Vapors	16.06
Boon Reflection	Serpentine Spike	66.06
Lathnu Hellion	Impact Tremors	41.6
Spell Queller	Paradoxical Outcome	39.01
Swelter	Crowned Ceratok	74.63
Momentary Blink	Whirlwind Adept	11.48
Rise	Ivory Guardians	10.12
Cruel Deceiver	Messenger's Speed	63.4
Grasp of Darkness	Seeds of Strength	24.63
Keeper of Tresserhorn	Mass Calcify	85.24
Sungrass Egg	Seller of Songbirds	45.17
Empyrial Archangel	Tortoise Formation	90.61
Chaos Imps	Rancid Rats	71.31
Workhorse	Urborg Skeleton	71.11
Daily Regimen	Living Artifact	41.6
Guardian Idol	Brute Force	46.29
Ob Nixilis, Unshackled	Battlegrace Angel	36.95
Give	Deathrite Shaman	88.95
Weldfast Monitor	Magma Phoenix	86.29
Relic Seeker	Prahv, Spires of Order	31.31
Mystic Enforcer	Goblinslide	49.3
Downdraft	Winds of Rath	12.38
Kederekt Parasite	Diplomatic Immunity	51.19
Wild Growth	Thraben Heretic	80.87
Scourge of Nel Toth	Sign in Blood	35.03
Willow Priestess	Vexing Sphinx	66.8
Sight of the Scalelords	Kozilek's Channeler	62.8
Weathered Bodyguards	Test of Faith	58.79
Craterhoof Behemoth	Mephidross Vampire	12.02
Khalni Gem	Agadeem Occultist	52.41
Sphinx of the Final Word	Wanderlust	83.02
Coerced Confession	Affa Protector	74.23
Crooked Scales	Primal Growth	66.01
Umbra Stalker	Ulamog, the Ceaseless Hunger	13.45
Alaborn Musketeer	Befoul	77.07
Mogg Hollows	Empty the Catacombs	17.4
Rune-Scarred Demon	Wildfire	44.65
Bye	Flash	100
Teeka's Dragon	Spikeshot Goblin	63.04
Disharmony	Sagu Archer	53.98
Cryptic Annelid	Winterflame	57.26
Vanquish	Wall of Bone	46.4
Sanctum Prelate	Bloodline Keeper	41.48
Healer's Headdress	Bog Tatters	39.22
Tower of Fortunes	Unmake the Graves	24.87
Primal Clay	Aligned Hedron Network	58.9
Steel Sabotage	Cloudthresher	73.32
Welcome to the Fold	Elvish Farmer	31.55
Angus Mackenzie	Executioner's Swing	66.87
Jokulhaups	Soulbright Flamekin	68.71
Dimir Cutpurse	Psychic Spiral	32.04
Shoal Serpent	Knight of the Hokey Pokey	51.5
Elvish Piper	Liquimetal Coating	71.82
Reverberate	Imi Statue	14.86
Unyaro Bees	Wreath of Geists	38.95
Sun Titan	Parallel Evolution	87.56
Vish Kal, Blood Arbiter	Sunscape Master	79.27
Piston Sledge	Cathars' Crusade	21.82
Neurok Transmuter	Goblin War Wagon	26.18
Wall of Shields	Pyromancer's Goggles	4.88
Two-Headed Sliver	Meishin, the Mind Cage	33.88
Kurkesh, Onakke Ancient	Solemn Offering	89.87
Mystical Teachings	Vengeful Dreams	21.07
